2025-10-29 02:43:08 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-31 13:24:20 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:24:20 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 13:24:20 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 13:24:20 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:24:20 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 13:24:21 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-31 13:24:22 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:24:22 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 13:24:22 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 13:24:22 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:24:22 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 13:24:22 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-31 13:25:06 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:25:06 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 13:25:06 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 13:25:06 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:25:07 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 13:25:07 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-31 13:25:07 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:25:07 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 13:25:07 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 13:25:07 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 13:25:08 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 13:25:08 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-31 13:25:19 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-31 13:25:19 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-31 13:25:19 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-31 13:25:19 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-31 13:25:21 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-31 13:25:21 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-31 13:25:21 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-31 13:25:21 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-31 13:25:21 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-31 20:39:13 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 20:39:13 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 20:39:13 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 20:39:13 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 20:39:18 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 20:39:19 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-31 20:39:20 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 20:39:20 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 20:39:20 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 20:39:20 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 20:39:21 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 20:39:21 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-31 20:39:36 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-31 20:39:36 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-31 20:39:36 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-31 20:39:36 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-31 20:39:37 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-31 20:39:37 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-31 20:39:37 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-31 20:39:37 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-31 20:39:37 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-31 21:04:15 | INFO     | BasicBot | get_account_balance | Fetching account balance...
2025-10-31 21:04:17 | ERROR    | BasicBot | get_account_balance | Failed to get balance: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2025-10-31 21:05:12 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 21:05:12 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-31 21:05:12 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-31 21:05:12 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-31 21:05:13 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-31 21:05:13 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-11-01 00:00:42 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-11-01 00:00:42 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-11-01 00:00:42 | INFO     | BasicBot | _setup_logging | Testnet mode: True
